FID,gemeindeschluessel,strassenschluessel,strasse
strassennamen.fid--3213a59_187b3d87864_3a4c,5334002,1136,Blücherplatz
strassennamen.fid--3213a59_187b3d87864_3a4d,5334002,1137,Simpelvelder Straße
strassennamen.fid--3213a59_187b3d87864_3a4e,5334002,1138,Bodelschwinghstraße
strassennamen.fid--3213a59_187b3d87864_3a4f,5334002,1139,Vossenweg
strassennamen.fid--3213a59_187b3d87864_3a50,5334002,1140,Bonifatiusweg
strassennamen.fid--3213a59_187b3d87864_3a51,5334002,1142,Borchersstraße
strassennamen.fid--3213a59_187b3d87864_3a52,5334002,1150,Breslauer Straße
strassennamen.fid--3213a59_187b3d87864_3a53,5334002,1151,Buchenallee
strassennamen.fid--3213a59_187b3d87864_3a54,5334002,1152,Buchkremerstraße
strassennamen.fid--3213a59_187b3d87864_3a55,5334002,1153,Büchel
strassennamen.fid--3213a59_187b3d87864_3a56,5334002,1154,Bungert
strassennamen.fid--3213a59_187b3d87864_3a57,5334002,1155,Bunsenstraße
strassennamen.fid--3213a59_187b3d87864_3a58,5334002,1156,Burggrafenstraße
strassennamen.fid--3213a59_187b3d87864_3a59,5334002,1157,Brüggemannstraße
strassennamen.fid--3213a59_187b3d87864_3a5a,5334002,1158,Brüsseler Ring
strassennamen.fid--3213a59_187b3d87864_3a5b,5334002,1159,Brunssumstraße
strassennamen.fid--3213a59_187b3d87864_3a5c,5334002,1160,Burtscheider Straße
strassennamen.fid--3213a59_187b3d87864_3a5d,5334002,1161,Buschhäuserweg
strassennamen.fid--3213a59_187b3d87864_3a5e,5334002,1162,Buschmühle
strassennamen.fid--3213a59_187b3d87864_3a5f,5334002,1163,Carlasiedlung
strassennamen.fid--3213a59_187b3d87864_3a60,5334002,1164,César-Franck-Straße
strassennamen.fid--3213a59_187b3d87864_3a61,5334002,1165,Champierweg
strassennamen.fid--3213a59_187b3d87864_3a62,5334002,1167,Charles-de-Coster-Straße
strassennamen.fid--3213a59_187b3d87864_3a63,5334002,1168,Charlottenstraße
strassennamen.fid--3213a59_187b3d87864_3a64,5334002,1170,Chlodwigstraße
strassennamen.fid--3213a59_187b3d87864_3a65,5334002,1171,Claßenstraße
strassennamen.fid--3213a59_187b3d87864_3a66,5334002,1172,Clermontstraße
strassennamen.fid--3213a59_187b3d87864_3a67,5334002,1173,Colynshofstraße
strassennamen.fid--3213a59_187b3d87864_3a68,5334002,1174,Couvenstraße
strassennamen.fid--3213a59_187b3d87864_3a69,5334002,1176,Dachsbau
strassennamen.fid--3213a59_187b3d87864_3a6a,5334002,1178,Dahlienweg
strassennamen.fid--3213a59_187b3d87864_3a6b,5334002,1179,Dahmengraben
strassennamen.fid--3213a59_187b3d87864_3a6c,5334002,1181,Damaschkestraße
strassennamen.fid--3213a59_187b3d87864_3a6d,5334002,1183,Dammstraße
strassennamen.fid--3213a59_187b3d87864_3a6e,5334002,1184,Danziger Straße
strassennamen.fid--3213a59_187b3d87864_3a6f,5334002,1185,Dedolphstraße
strassennamen.fid--3213a59_187b3d87864_3a70,5334002,1187,Deliusstraße
strassennamen.fid--3213a59_187b3d87864_3a71,5334002,1189,Dennewartstraße
strassennamen.fid--3213a59_187b3d87864_3a72,5334002,1191,Diepenbenden
strassennamen.fid--3213a59_187b3d87864_3a73,5334002,1193,Dr.-Hahn-Straße
strassennamen.fid--3213a59_187b3d87864_3a74,5334002,1195,Dr.-Vitus-Metz-Straße
strassennamen.fid--3213a59_187b3d87864_3a75,5334002,1197,Domhof
strassennamen.fid--3213a59_187b3d87864_3a76,5334002,1199,Dresdener Straße
strassennamen.fid--3213a59_187b3d87864_3a77,5334002,1201,Driescher Gässchen
strassennamen.fid--3213a59_187b3d87864_3a78,5334002,1205,Drimbornstraße
strassennamen.fid--3213a59_187b3d87864_3a79,5334002,1207,Drosselweg
strassennamen.fid--3213a59_187b3d87864_3a7a,5334002,1209,Düppelstraße
strassennamen.fid--3213a59_187b3d87864_3a7b,5334002,1210,Düstergasse
strassennamen.fid--3213a59_187b3d87864_3a7c,5334002,1211,Düsbergweg
strassennamen.fid--3213a59_187b3d87864_3a7d,5334002,1212,Dunantstraße
strassennamen.fid--3213a59_187b3d87864_3a7e,5334002,1214,Eberburgweg
strassennamen.fid--3213a59_187b3d87864_3a7f,5334002,1216,Eckenberger Straße
strassennamen.fid--3213a59_187b3d87864_3a80,5334002,1217,Mataréstraße
strassennamen.fid--3213a59_187b3d87864_3a81,5334002,1220,Eginhardstraße
strassennamen.fid--3213a59_187b3d87864_3a82,5334002,1222,Eichendorffweg
strassennamen.fid--3213a59_187b3d87864_3a83,5334002,1224,Eichhörnchenweg
strassennamen.fid--3213a59_187b3d87864_3a84,5334002,1226,Eifelstraße
strassennamen.fid--3213a59_187b3d87864_3a85,5334002,1228,Sonnenscheinstraße
strassennamen.fid--3213a59_187b3d87864_3a86,5334002,1229,Eilfschornsteinstraße
strassennamen.fid--3213a59_187b3d87864_3a87,5334002,1231,Eintrachtstraße
strassennamen.fid--3213a59_187b3d87864_3a88,5334002,1233,Eisenbahnweg
strassennamen.fid--3213a59_187b3d87864_3a89,5334002,1235,Elisabethstraße
strassennamen.fid--3213a59_187b3d87864_3a8a,5334002,1237,Malmedyer Straße
strassennamen.fid--3213a59_187b3d87864_3a8b,5334002,1239,Elsa-Brändström-Straße
strassennamen.fid--3213a59_187b3d87864_3a8c,5334002,1240,Elsassplatz
strassennamen.fid--3213a59_187b3d87864_3a8d,5334002,1241,Elsassstraße
strassennamen.fid--3213a59_187b3d87864_3a8e,5334002,1243,Emmastraße
